x,node,next_x,next_node,value
CTE,CTE Concentrator,grad.year.5,Attending ps,0.13068906848149722
"5 years after
high school",Attending ps,NA,NA,0.13068906848149722
CTE,CTE Concentrator,grad.year.5,Meaningful WF - MN,0.14132284134410888
"5 years after
high school",Meaningful WF - MN,NA,NA,0.14132284134410888
CTE,CTE Concentrator,grad.year.5,Meaningful WF - NE,0.31890684814972353
"5 years after
high school",Meaningful WF - NE,NA,NA,0.31890684814972353
CTE,CTE Concentrator,grad.year.5,No MN employment,0.19268396427052317
"5 years after
high school",No MN employment,NA,NA,0.19268396427052317
CTE,CTE Concentrator,grad.year.5,Not meaningful,0.21639727775414716
"5 years after
high school",Not meaningful,NA,NA,0.21639727775414716
CTE,CTE Participant,grad.year.5,Attending ps,0.16559347499463403
"5 years after
high school",Attending ps,NA,NA,0.16559347499463403
CTE,CTE Participant,grad.year.5,Meaningful WF - MN,0.1522858982614295
"5 years after
high school",Meaningful WF - MN,NA,NA,0.1522858982614295
CTE,CTE Participant,grad.year.5,Meaningful WF - NE,0.27205408886027044
"5 years after
high school",Meaningful WF - NE,NA,NA,0.27205408886027044
CTE,CTE Participant,grad.year.5,No MN employment,0.19939901266366172
"5 years after
high school",No MN employment,NA,NA,0.19939901266366172
CTE,CTE Participant,grad.year.5,Not meaningful,0.2106675252200043
"5 years after
high school",Not meaningful,NA,NA,0.2106675252200043
CTE,No CTE,grad.year.5,Attending ps,0.1749263830587056
"5 years after
high school",Attending ps,NA,NA,0.1749263830587056
CTE,No CTE,grad.year.5,Meaningful WF - MN,0.15694505356807217
"5 years after
high school",Meaningful WF - MN,NA,NA,0.15694505356807217
CTE,No CTE,grad.year.5,Meaningful WF - NE,0.22899567696259632
"5 years after
high school",Meaningful WF - NE,NA,NA,0.22899567696259632
CTE,No CTE,grad.year.5,No MN employment,0.22680283190276299
"5 years after
high school",No MN employment,NA,NA,0.22680283190276299
CTE,No CTE,grad.year.5,Not meaningful,0.2123300545078629
"5 years after
high school",Not meaningful,NA,NA,0.2123300545078629
