x,node,next_x,next_node,value,highlight
CTE,CTE Concentrator,grad.year.5,Attending ps,0.13068906848149722,dull
"5 years after
high school",Attending ps,NA,NA,0.13068906848149722,NA
CTE,CTE Concentrator,grad.year.5,Meaningful WF - MN,0.14132284134410888,dull
"5 years after
high school",Meaningful WF - MN,NA,NA,0.14132284134410888,NA
CTE,CTE Concentrator,grad.year.5,Meaningful WF - NE,0.31890684814972353,highlight
"5 years after
high school",Meaningful WF - NE,NA,NA,0.31890684814972353,NA
CTE,CTE Concentrator,grad.year.5,No MN employment,0.19268396427052317,dull
"5 years after
high school",No MN employment,NA,NA,0.19268396427052317,NA
CTE,CTE Concentrator,grad.year.5,Not meaningful,0.21639727775414716,dull
"5 years after
high school",Not meaningful,NA,NA,0.21639727775414716,NA
CTE,CTE Participant,grad.year.5,Attending ps,0.16559347499463403,dull
"5 years after
high school",Attending ps,NA,NA,0.16559347499463403,NA
CTE,CTE Participant,grad.year.5,Meaningful WF - MN,0.1522858982614295,dull
"5 years after
high school",Meaningful WF - MN,NA,NA,0.1522858982614295,NA
CTE,CTE Participant,grad.year.5,Meaningful WF - NE,0.27205408886027044,highlight
"5 years after
high school",Meaningful WF - NE,NA,NA,0.27205408886027044,NA
CTE,CTE Participant,grad.year.5,No MN employment,0.19939901266366172,dull
"5 years after
high school",No MN employment,NA,NA,0.19939901266366172,NA
CTE,CTE Participant,grad.year.5,Not meaningful,0.2106675252200043,dull
"5 years after
high school",Not meaningful,NA,NA,0.2106675252200043,NA
CTE,No CTE,grad.year.5,Attending ps,0.1749263830587056,dull
"5 years after
high school",Attending ps,NA,NA,0.1749263830587056,NA
CTE,No CTE,grad.year.5,Meaningful WF - MN,0.15694505356807217,dull
"5 years after
high school",Meaningful WF - MN,NA,NA,0.15694505356807217,NA
CTE,No CTE,grad.year.5,Meaningful WF - NE,0.22899567696259632,highlight
"5 years after
high school",Meaningful WF - NE,NA,NA,0.22899567696259632,NA
CTE,No CTE,grad.year.5,No MN employment,0.22680283190276299,dull
"5 years after
high school",No MN employment,NA,NA,0.22680283190276299,NA
CTE,No CTE,grad.year.5,Not meaningful,0.2123300545078629,dull
"5 years after
high school",Not meaningful,NA,NA,0.2123300545078629,NA
